%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214675, 2023/10/9 16:50:38.76)
1 10 1.361026e+02 0 0 1.420875e+00 1.311502e+02 5.201986e+01 3.079667e+00 
2 19 1.193551e+02 0 0 1.198182e+00 1.093506e+02 4.488156e+01 2.636109e+00 
3 28 1.316006e+02 0 0 1.261162e+00 1.144323e+02 5.113072e+01 3.187453e+00 
4 37 1.203409e+02 0 0 1.137012e+00 1.026773e+02 4.430062e+01 2.782986e+00 
5 46 9.437781e+01 0 0 8.722467e-01 7.628535e+01 3.311702e+01 2.114696e+00 
6 55 8.484768e+01 0 0 7.614748e-01 6.564057e+01 2.832151e+01 1.877666e+00 
7 64 9.827784e+01 0 0 1.051100e+00 7.436525e+01 3.105778e+01 2.105372e+00 
8 73 7.767158e+01 0 0 8.140339e-01 5.539182e+01 2.342455e+01 1.574526e+00 
9 82 7.198960e+01 0 0 7.267621e-01 4.854764e+01 2.185138e+01 1.396063e+00 
10 91 6.529304e+01 0 0 6.589801e-01 4.249270e+01 1.897780e+01 1.255354e+00 
11 100 6.391795e+01 0 0 6.445241e-01 3.938351e+01 1.909341e+01 1.186915e+00 
12 109 6.343670e+01 0 0 6.304552e-01 3.679371e+01 1.998146e+01 1.180289e+00 
13 118 6.112920e+01 0 0 6.003405e-01 3.408093e+01 1.883023e+01 1.126815e+00 
14 127 7.147375e+01 0 0 7.721905e-01 3.754360e+01 2.197271e+01 1.413855e+00 
15 136 7.560975e+01 0 0 8.747571e-01 3.763274e+01 2.204656e+01 1.435771e+00 
16 145 7.527749e+01 0 0 8.638103e-01 3.617916e+01 2.228770e+01 1.395212e+00 
17 154 7.937772e+01 0 0 8.919795e-01 3.610610e+01 2.326343e+01 1.510519e+00 
18 163 6.583742e+01 0 0 7.173831e-01 2.833893e+01 1.855578e+01 1.203074e+00 
19 172 6.307663e+01 0 0 6.601937e-01 2.556886e+01 1.751671e+01 1.195841e+00 
20 181 6.123175e+01 0 0 6.400515e-01 2.379968e+01 1.651965e+01 1.108737e+00 
21 190 5.974946e+01 0 0 5.945019e-01 2.195715e+01 1.578885e+01 1.230806e+00 
22 199 5.599515e+01 0 0 5.792742e-01 1.937051e+01 1.483972e+01 1.107884e+00 
23 208 4.279320e+01 0 0 4.222708e-01 1.393199e+01 1.084093e+01 7.985187e-01 
24 217 3.948052e+01 0 0 3.739290e-01 1.234934e+01 9.735859e+00 7.563969e-01 
25 226 3.764487e+01 0 0 3.412983e-01 1.120377e+01 9.210828e+00 7.191097e-01 
26 235 3.527177e+01 0 0 3.190947e-01 9.930170e+00 8.170521e+00 6.421223e-01 
27 244 3.107576e+01 0 0 2.686245e-01 8.523792e+00 6.873005e+00 5.485134e-01 
28 253 2.690534e+01 0 0 2.207071e-01 6.979059e+00 5.661755e+00 4.760145e-01 
29 262 2.128502e+01 0 0 1.663442e-01 5.230293e+00 4.223118e+00 3.647813e-01 
30 271 2.182020e+01 0 0 1.681490e-01 5.095403e+00 4.375647e+00 4.097615e-01 
31 280 2.502826e+01 0 0 1.933139e-01 5.530135e+00 4.874137e+00 5.340827e-01 
32 289 2.572805e+01 0 0 1.901771e-01 5.354666e+00 5.181935e+00 5.643103e-01 
33 298 2.996688e+01 0 0 2.133957e-01 5.898998e+00 5.927936e+00 7.237068e-01 
34 307 3.192837e+01 0 0 2.168588e-01 6.032209e+00 6.621866e+00 8.424335e-01 
35 316 3.370409e+01 0 0 2.184361e-01 6.372763e+00 6.800077e+00 8.798043e-01 
36 325 3.579417e+01 0 0 2.261448e-01 6.399526e+00 6.828259e+00 1.004872e+00 
37 334 3.128034e+01 0 0 1.905087e-01 5.305659e+00 5.636905e+00 8.383326e-01 
38 343 2.822704e+01 0 0 1.640476e-01 4.506709e+00 5.059040e+00 7.452951e-01 
39 352 2.857893e+01 0 0 1.865669e-01 4.385683e+00 4.952409e+00 7.562642e-01 
40 361 2.366085e+01 0 0 1.467529e-01 3.427309e+00 3.898375e+00 5.971324e-01 
41 370 2.047752e+01 0 0 1.242218e-01 2.926551e+00 3.214975e+00 4.992520e-01 
42 379 1.820231e+01 0 0 1.106078e-01 2.457944e+00 2.738648e+00 4.298930e-01 
43 388 1.759328e+01 0 0 1.069391e-01 2.282576e+00 2.641157e+00 3.963801e-01 
44 397 1.834431e+01 0 0 1.129544e-01 2.247752e+00 2.853075e+00 4.003072e-01 
45 406 2.022381e+01 0 0 1.284502e-01 2.467086e+00 3.026440e+00 4.294978e-01 
46 415 1.957242e+01 0 0 1.242003e-01 2.395262e+00 2.783046e+00 3.944152e-01 
47 424 1.692278e+01 0 0 1.055165e-01 1.982153e+00 2.268481e+00 3.295861e-01 
48 433 1.563053e+01 0 0 9.303275e-02 1.751525e+00 2.181874e+00 2.952481e-01 
49 442 1.656967e+01 0 0 1.047104e-01 1.873019e+00 2.357452e+00 3.011381e-01 
50 451 1.604984e+01 0 0 9.924081e-02 1.782946e+00 2.326356e+00 2.794653e-01 
51 460 1.445225e+01 0 0 8.464054e-02 1.526742e+00 2.028774e+00 2.379949e-01 
52 469 1.232937e+01 0 0 7.023710e-02 1.239969e+00 1.659715e+00 1.979053e-01 
53 478 1.199764e+01 0 0 6.458691e-02 1.136358e+00 1.613597e+00 1.858173e-01 
54 487 1.014695e+01 0 0 5.251639e-02 9.277398e-01 1.325008e+00 1.491776e-01 
55 496 8.785778e+00 0 0 4.337066e-02 7.887387e-01 1.120252e+00 1.217381e-01 
56 505 8.103818e+00 0 0 3.858577e-02 6.899119e-01 1.006252e+00 1.089506e-01 
57 514 8.464634e+00 0 0 3.805814e-02 8.058307e-01 1.021174e+00 1.136469e-01 
58 523 8.177507e+00 0 0 3.547146e-02 7.995523e-01 9.431242e-01 1.037813e-01 
59 532 8.579876e+00 0 0 3.724743e-02 8.406296e-01 9.454855e-01 1.056727e-01 
60 541 8.846514e+00 0 0 3.925387e-02 8.345476e-01 9.367826e-01 1.034384e-01 
61 550 9.701495e+00 0 0 4.115510e-02 9.340002e-01 1.018226e+00 1.277153e-01 
62 559 9.135022e+00 0 0 3.910407e-02 8.595311e-01 9.357562e-01 1.152051e-01 
63 568 9.385277e+00 0 0 4.312619e-02 8.603008e-01 9.079394e-01 1.159059e-01 
64 577 9.322588e+00 0 0 4.338759e-02 8.145915e-01 8.517804e-01 1.093326e-01 
65 586 8.246860e+00 0 0 3.691158e-02 7.117949e-01 7.252935e-01 9.275838e-02 
66 595 7.323063e+00 0 0 3.251227e-02 6.241939e-01 6.196175e-01 8.072943e-02 
67 604 6.594004e+00 0 0 2.823777e-02 5.495309e-01 5.280787e-01 6.888207e-02 
68 613 5.534189e+00 0 0 2.282393e-02 4.405491e-01 4.285611e-01 5.539334e-02 
69 622 5.247992e+00 0 0 2.136431e-02 4.185341e-01 3.918948e-01 4.971943e-02 
70 631 5.769545e+00 0 0 2.306040e-02 4.728602e-01 4.937771e-01 5.289509e-02 
71 640 5.958221e+00 0 0 2.480469e-02 4.739033e-01 4.861024e-01 5.500535e-02 
72 649 5.751389e+00 0 0 2.403359e-02 4.450703e-01 4.652093e-01 5.108625e-02 
73 658 5.630733e+00 0 0 2.394056e-02 4.134786e-01 4.395933e-01 4.710808e-02 
74 667 6.502850e+00 0 0 3.133155e-02 4.755475e-01 5.113567e-01 5.501445e-02 
75 676 8.437973e+00 0 0 4.314434e-02 6.197868e-01 6.613646e-01 7.180790e-02 
76 685 8.880093e+00 0 0 4.333598e-02 6.522481e-01 7.494847e-01 7.452362e-02 
77 694 9.359084e+00 0 0 4.388916e-02 6.657823e-01 7.668294e-01 7.484897e-02 
78 703 9.272512e+00 0 0 4.278914e-02 7.013186e-01 7.926203e-01 7.090786e-02 
79 712 7.830937e+00 0 0 3.419111e-02 5.634987e-01 6.378715e-01 5.712133e-02 
80 721 6.262558e+00 0 0 2.583432e-02 4.316221e-01 4.897148e-01 4.329969e-02 
81 730 6.165698e+00 0 0 2.442894e-02 4.075503e-01 4.635452e-01 4.070630e-02 
82 739 5.421418e+00 0 0 2.024866e-02 3.408957e-01 3.922641e-01 3.423970e-02 
83 748 5.149515e+00 0 0 1.918113e-02 3.216606e-01 3.617442e-01 3.118398e-02 
84 757 5.480505e+00 0 0 2.105693e-02 3.652955e-01 4.352063e-01 3.311598e-02 
85 766 5.141749e+00 0 0 1.973721e-02 3.253384e-01 3.896202e-01 2.957830e-02 
86 775 4.206243e+00 0 0 1.543418e-02 2.566428e-01 3.074995e-01 2.310398e-02 
87 784 3.644760e+00 0 0 1.283753e-02 2.096949e-01 2.547914e-01 1.893439e-02 
88 793 3.463534e+00 0 0 1.283028e-02 1.940670e-01 2.351655e-01 1.785982e-02 
89 802 3.454608e+00 0 0 1.295629e-02 1.832332e-01 2.217896e-01 1.770858e-02 
90 811 2.957148e+00 0 0 1.055570e-02 1.522681e-01 1.829413e-01 1.463372e-02 
91 820 2.902597e+00 0 0 1.000432e-02 1.604383e-01 1.802409e-01 1.538611e-02 
92 829 2.470005e+00 0 0 8.054611e-03 1.380307e-01 1.576395e-01 1.327275e-02 
93 838 2.276081e+00 0 0 7.452586e-03 1.199378e-01 1.374697e-01 1.153426e-02 
94 847 2.138735e+00 0 0 6.657510e-03 1.129822e-01 1.271825e-01 1.059972e-02 
95 856 1.996510e+00 0 0 6.221720e-03 9.987794e-02 1.152627e-01 9.395950e-03 
96 865 2.073364e+00 0 0 6.407725e-03 1.033766e-01 1.163229e-01 9.361804e-03 
97 874 2.139859e+00 0 0 6.277829e-03 1.127729e-01 1.189955e-01 9.335622e-03 
98 883 1.724981e+00 0 0 4.872009e-03 8.792664e-02 9.337183e-02 7.167945e-03 
