%  columns="iteration, evaluation, void, void, void, xmean" (startseed=214675, 2023/10/9 16:50:38.76)
0 1 0 0 0 1.000000e+00 1.750000e+02 1.000000e+02 1.200000e+01 
1 10 0 0 0 1.881844e+00 2.471260e+02 7.569274e+01 1.432223e+01 
2 19 0 0 0 1.622168e+00 1.950170e+02 5.457290e+01 1.181789e+01 
3 28 0 0 0 1.797035e+00 1.815241e+02 1.990339e+01 8.879322e+00 
4 37 0 0 0 2.428443e+00 2.282057e+02 4.173833e+01 9.425857e+00 
5 46 0 0 0 1.883242e+00 1.924326e+02 5.669555e+01 1.034878e+01 
6 55 0 0 0 1.473652e+00 1.757721e+02 5.825299e+01 1.172475e+01 
7 64 0 0 0 3.569288e-01 2.216000e+02 4.976416e+01 1.034949e+01 
8 73 0 0 0 1.380793e+00 2.017767e+02 5.849255e+01 1.029856e+01 
9 82 0 0 0 1.094369e+00 2.116289e+02 7.407806e+01 9.855250e+00 
10 91 0 0 0 1.657856e+00 2.292211e+02 6.200309e+01 9.437935e+00 
11 100 0 0 0 1.962437e+00 2.139895e+02 7.889966e+01 9.489330e+00 
12 109 0 0 0 1.789587e+00 2.188508e+02 9.258287e+01 9.125588e+00 
13 118 0 0 0 2.182605e+00 2.344116e+02 7.329213e+01 8.490605e+00 
14 127 0 0 0 2.823894e+00 2.280115e+02 9.004532e+01 7.530856e+00 
15 136 0 0 0 3.349426e+00 2.332272e+02 8.174299e+01 7.720942e+00 
16 145 0 0 0 3.359211e+00 2.122923e+02 1.010775e+02 7.081684e+00 
17 154 0 0 0 3.657996e+00 2.119458e+02 1.100243e+02 8.634715e+00 
18 163 0 0 0 3.462015e+00 2.237746e+02 9.498906e+01 8.425546e+00 
19 172 0 0 0 3.673718e+00 2.200261e+02 8.383478e+01 7.257587e+00 
20 181 0 0 0 4.089813e+00 2.122897e+02 8.087304e+01 7.234290e+00 
21 190 0 0 0 3.880949e+00 2.135755e+02 7.493169e+01 6.265179e+00 
22 199 0 0 0 4.359391e+00 2.146805e+02 8.999624e+01 6.640833e+00 
23 208 0 0 0 4.093209e+00 2.131240e+02 8.736144e+01 6.674909e+00 
24 217 0 0 0 4.033505e+00 2.187931e+02 8.225635e+01 6.004874e+00 
25 226 0 0 0 4.193217e+00 2.203050e+02 7.673192e+01 6.582903e+00 
26 235 0 0 0 4.400412e+00 2.195742e+02 7.848665e+01 6.737256e+00 
27 244 0 0 0 4.207848e+00 2.132635e+02 8.123499e+01 6.983420e+00 
28 253 0 0 0 4.184109e+00 2.141977e+02 8.005189e+01 6.438206e+00 
29 262 0 0 0 4.278419e+00 2.158991e+02 7.987900e+01 6.636860e+00 
30 271 0 0 0 4.294971e+00 2.141148e+02 8.362890e+01 7.105637e+00 
31 280 0 0 0 4.151662e+00 2.152068e+02 8.466633e+01 7.535320e+00 
32 289 0 0 0 4.215389e+00 2.145677e+02 8.818168e+01 7.752815e+00 
33 298 0 0 0 4.145495e+00 2.141591e+02 8.321014e+01 8.166121e+00 
34 307 0 0 0 4.156177e+00 2.118539e+02 9.002225e+01 8.653662e+00 
35 316 0 0 0 4.170015e+00 2.176664e+02 8.448665e+01 8.823691e+00 
36 325 0 0 0 4.047976e+00 2.163875e+02 8.606758e+01 9.602892e+00 
37 334 0 0 0 4.184639e+00 2.173905e+02 8.469514e+01 9.315405e+00 
38 343 0 0 0 4.139151e+00 2.174003e+02 8.917044e+01 9.691242e+00 
39 352 0 0 0 3.921012e+00 2.159356e+02 8.798580e+01 9.743955e+00 
40 361 0 0 0 3.972300e+00 2.170209e+02 8.865353e+01 9.882295e+00 
41 370 0 0 0 4.049401e+00 2.145242e+02 8.930419e+01 9.707063e+00 
42 379 0 0 0 4.115792e+00 2.153558e+02 9.017451e+01 9.783668e+00 
43 388 0 0 0 4.160935e+00 2.145166e+02 9.184227e+01 9.912940e+00 
44 397 0 0 0 4.222818e+00 2.146598e+02 9.372675e+01 1.003982e+01 
